task,pearson_companies_vs_online,cosine_companies_vs_online,n_valid_comparisons
Researching,0.5808599488574273,0.9688743948578298,18
Checking,-0.18830703415417435,0.9148826957726949,18
Decision making,0.25081004927088735,0.9896956235780426,18
Problem solving,0.1368346352157141,0.9850702541378724,18
Creative thinking,0.7547984193404841,0.969536233675687,18
LT planning,0.6510981627731997,0.9634622727968517,18
ST planning,0.39883131686142465,0.9610108845051814,18
Tool use,-0.09226715920960034,0.8213820658645493,18
Computer use,0.5320488307246362,0.9773446046798935,18
Coding,0.18497257605966463,0.48586991646686745,18
Data manipulation,0.4683429506634117,0.9204342416108048,18
Analysing data,0.23456728807045554,0.9666050647448955,18
Communicating,0.0757736368496644,0.9462587313163955,18
Listening,0.4052988876052651,0.9351617474400253,18
Building rapport,0.5327378774747482,0.9365261770894671,18
Managing people,-0.09723368225658038,0.9032369354464326,18
Managing resources,0.42719574426218965,0.773863062326287,18
Admin,0.7689272545583856,0.9646675379886744,18
